,Selection Coefficient,Early Objective,Late Objective
0,0.99999955,2.39528,3.71028
1,0.99995134,2.3952036,3.728159
2,0.99999657,2.39525,3.7132099
3,0.99999806,2.3952793,3.71113
4,0.99999802,2.3952793,3.71113
5,0.99999805,2.3952793,3.71113
6,0.99999804,2.3952793,3.71113
7,0.99999951,2.39528,3.71028
8,0.99999954,2.39528,3.71028
9,0.9999995,2.39528,3.71028
10,0.99999952,2.39528,3.71028
11,0.9999995,2.39528,3.71028
12,0.99999955,2.39528,3.71028
13,0.99999801,2.3952793,3.71113
14,0.99999803,2.3952793,3.71113
15,0.99999954,2.39528,3.71028
16,0.99999806,2.3952793,3.71113
17,0.99999805,2.3952793,3.71113
18,0.99999806,2.3952793,3.71113
19,0.99999805,2.3952793,3.71113
20,0.99999955,2.39528,3.71028
21,0.99999954,2.39528,3.71028
22,0.99999955,2.39528,3.71028
23,0.99999951,2.39528,3.71028
24,0.99999955,2.39528,3.71028
25,0.99999951,2.39528,3.71028
26,0.99999804,2.3952793,3.71113
27,0.99999804,2.3952793,3.71113
28,0.99999802,2.3952793,3.71113
29,0.99999806,2.3952793,3.71113
30,0.99999951,2.39528,3.71028
31,0.99999955,2.39528,3.71028
32,0.99999953,2.39528,3.71028
33,0.99999806,2.3952793,3.71113
34,0.99999805,2.3952793,3.71113
35,0.99999803,2.3952793,3.71113
36,0.99999805,2.3952793,3.71113
37,0.99999952,2.39528,3.71028
38,0.99999953,2.39528,3.71028
39,0.99999953,2.39528,3.71028
40,0.9999995,2.39528,3.71028
41,0.99999805,2.3952793,3.71113
42,0.99999955,2.39528,3.71028
43,0.99999955,2.39528,3.71028
44,0.99999804,2.3952793,3.71113
45,0.99999952,2.39528,3.71028
46,0.99999953,2.39528,3.71028
47,0.99999804,2.3952793,3.71113
48,0.99999953,2.39528,3.71028
49,0.99999802,2.3952793,3.71113
50,0.99999806,2.3952793,3.71113
51,0.99999955,2.39528,3.71028
52,0.99999804,2.3952793,3.71113
53,0.99999953,2.39528,3.71028
54,0.99999954,2.39528,3.71028
55,0.99999951,2.39528,3.71028
56,0.99999805,2.3952793,3.71113
57,0.99999955,2.39528,3.71028
58,0.99999805,2.3952793,3.71113
59,0.99999804,2.3952793,3.71113
60,0.99999952,2.39528,3.71028
61,0.99999953,2.39528,3.71028
62,0.99999806,2.3952793,3.71113
63,0.99999951,2.39528,3.71028
64,0.99999951,2.39528,3.71028
65,0.99999955,2.39528,3.71028
66,0.99999954,2.39528,3.71028
67,0.99999955,2.39528,3.71028
68,0.99999805,2.3952793,3.71113
69,0.99999954,2.39528,3.71028
70,0.99999954,2.39528,3.71028
71,0.99999806,2.3952793,3.71113
72,0.99999804,2.3952793,3.71113
73,0.99999955,2.39528,3.71028
74,0.99999952,2.39528,3.71028
75,0.99999953,2.39528,3.71028
76,0.99999805,2.3952793,3.71113
77,0.99999805,2.3952793,3.71113
78,0.99999805,2.3952793,3.71113
79,0.99999952,2.39528,3.71028
80,0.99999804,2.3952793,3.71113
81,0.99999953,2.39528,3.71028
82,0.99999953,2.39528,3.71028
83,0.9999995,2.39528,3.71028
84,0.99999804,2.3952793,3.71113
85,0.99999802,2.3952793,3.71113
86,0.99999806,2.3952793,3.71113
87,0.9999995,2.39528,3.71028
88,0.99999804,2.3952793,3.71113
89,0.99999954,2.39528,3.71028
90,0.99999954,2.39528,3.71028
91,0.99999801,2.3952793,3.71113
92,0.99999955,2.39528,3.71028
93,0.99999802,2.3952793,3.71113
94,0.99999802,2.3952793,3.71113
95,0.99999953,2.39528,3.71028
96,0.99999802,2.3952793,3.71113
97,0.99999805,2.3952793,3.71113
98,0.99999951,2.39528,3.71028
99,0.99999955,2.39528,3.71028
